,x,y,emoji
186,-8.350178752337877,-13.205140018808287,✔️
187,-5.319212450094257,-10.206773445695344,✖️
188,-4.228095049971187,-15.821541465257344,✝
189,-16.506012193095028,-3.4746567605089425,✡
190,2.5834258540852706,4.04677862099299,✨
191,-15.737988647117241,-7.0235424298746665,✳️
192,-16.37050928800055,13.594748653440583,✴️
193,-7.453119474847303,2.191197185842388,❄️
194,9.432906855405488,6.420929149568135,❇️
195,3.7712017434357112,-9.015872287579423,❌
196,-14.426778308115518,-13.567929183325223,❎
197,-16.39308804307094,7.327043671376421,❓
198,-15.820085531223075,-6.319641496041656,❔
199,-16.093311673566987,8.741108282535398,❕
200,-0.08237424193796766,-1.4431500895932994,❗
201,-11.54725798798936,-8.56608379292889,❗️
202,-12.97941785873605,-9.946910771627543,❣
203,-8.492290138229118,6.582859708214258,❤️
204,-8.770513672973665,-10.639070525852807,➕
205,-8.806347219576537,-10.55882198361771,➖
206,-11.483259116001038,-8.900211863064609,➗
207,-15.369032300656412,-7.785305231670671,➡️
208,-8.691839106119618,1.6815182416981553,➰
209,-12.59264486381775,-5.902539249240606,➿
210,-10.739655076910912,-11.333937446302247,⤴️
211,-12.964142650814376,-8.02321244708819,⤵️
212,-17.137206104164548,-7.445179313431636,⬅️
213,-13.713610548518481,-7.799055246505801,⬆️
214,-15.541903381438436,5.652387977080492,⬇️
215,-17.077340995137373,-8.716261945453889,⬛
216,-16.874248994972913,-7.629160465680309,⬛️
217,-15.592353876384484,-7.811157531872425,⬜
218,-15.452744639472137,-9.975259199223128,⬜️
219,5.791006907961697,2.6967521796809986,⭐
220,-16.627309800200138,-9.94377354760879,⭐️
221,-11.62023375435543,-6.825434577943676,⭕
222,-7.834569312839874,13.99856299631104,⭕️
223,6.225827386855292,-5.925095749039066,〰️
224,-6.821629559972017,0.1529637639384524,〽️
225,1.6433749506627364,6.564930840222236,㊗️
226,-19.147625955100114,-2.760492483443934,㊙️
227,-1.0567925486234944,-12.970431974149669,
228,-6.349113809251209,3.445390490421274,🀄
229,-10.533099282196835,8.214964709368878,🀄️
230,-5.471918572460098,13.014243420906416,🃏
231,13.390354956451004,0.8586093885649436,🅰️
232,13.327401627037588,0.28265470790069586,🅱️
233,-2.9737226511698682,-9.043961053729678,🅾️
234,-3.8509743824765,-11.653287410160019,🅿️
235,-0.09591582698092495,-12.16671729699212,🆎
236,-13.062111495233731,-6.182141224356465,🆑
237,-12.748406995153752,-11.37835454760381,🆒
238,-11.538664697471336,-13.427081844524075,🆓
239,-14.39464217908565,-3.2716255935887846,🆔
240,0.689045800556934,-13.9824097365152,🆕
241,6.527828479748516,14.768940122353008,🆖
242,-13.704078611507594,-5.017771343100302,🆗
243,-0.6046495378814672,-3.9648086812794854,🆘
244,-2.9072922983125538,-13.208274355231282,🆙
245,-10.000553513634317,-10.959711756608948,🆚
246,-10.599080064716695,-3.614885449847556,🇦🇨
247,-10.99534330761449,3.5437654263284055,🇦🇩
248,-26.435607850178695,4.71592976273469,🇦🇪
249,-16.234477522561413,-1.5011133209550287,🇦🇫
250,-25.083120289394504,0.3710421287942829,🇦🇬
251,-26.72682829025021,6.9590870054305425,🇦🇮
252,-21.33984940037776,4.048794928646033,🇦🇱
253,-25.19598731128022,3.52345011177322,🇦🇲
254,-13.787889031517267,0.5871692854309717,🇦🇴
255,-10.564916699961394,-3.793512878091689,🇦🇶
256,-27.81389498376417,4.2435812025385395,🇦🇷
257,-15.588497424664729,-0.8245908762424904,🇦🇸
258,-27.771722570113365,4.275907328960096,🇦🇹
259,-28.216012573272053,2.990734554645765,🇦🇺
260,-23.094748870693227,8.248636309616208,🇦🇼
261,-22.421324972074526,-1.9078281011413765,🇦🇽
262,-22.284334135949553,5.921592431399944,🇦🇿
263,-24.25390630744824,7.206346571298719,🇧🇦
264,-21.19905599561578,-4.244520118120154,🇧🇧
265,-27.20334737877655,6.055076216219865,🇧🇩
266,-14.603865010372155,2.387263777969958,🇧🇪
